Wall time,Step,Value
1590387547.058631,0,0.01857718825340271
1590387658.390203,100,0.19459465146064758
1590387749.538275,200,0.3480871319770813
1590387813.059102,300,0.4174575209617615
1590387872.885937,400,0.442630410194397
1590387940.207733,500,0.09209521114826202
1590388002.341481,600,0.6086603403091431
1590388065.770698,700,0.3788994550704956
1590388124.2159932,800,0.5074448585510254
1590388177.406587,900,0.4059053063392639
1590388235.696394,1000,0.4697002172470093
1590388294.407924,1100,0.44420939683914185
1590388351.8458931,1200,0.3765201270580292
1590388413.5961542,1300,0.3820208013057709
1590388475.4610062,1400,0.41009658575057983
1590388540.309739,1500,0.2752400040626526
1590388596.3737102,1600,0.46234238147735596
1590388650.876826,1700,0.4779517352581024
1590388705.714918,1800,0.4416479766368866
1590388761.040183,1900,0.4373951554298401
1590388819.808309,2000,0.427204430103302
1590388875.556848,2100,0.3431919813156128
1590388934.831755,2200,0.5048189759254456
1590388990.268098,2300,0.3688228130340576
