Wall time,Step,Value
1582998101.3155663,7170,229.0
1582998167.5677388,7211,135.0
1582998309.9101899,7304,154.0
1582998407.601886,7368,92.0
1582998445.0217729,7396,136.0
1582998449.9422057,7397,107.0
1582998486.5698273,7416,394.0
1582998522.4425306,7439,120.0
1582998546.4064212,7458,93.0
1582998620.0890932,7507,120.0
1582998637.1461675,7517,132.0
1582998641.060464,7520,298.0
1582998666.6210973,7535,98.0
1582998717.210358,7568,242.0
1582998991.3972528,7747,159.0
1582999003.4206166,7753,124.0
1582999108.1237595,7821,101.0
1582999151.1539176,7850,92.0
1582999168.7639952,7860,158.0
1582999216.548364,7895,74.0
1582999317.4385612,7964,99.0
1582999366.35716,7996,181.0
1582999458.8003345,8056,94.0
1582999513.2832682,8091,135.0
1582999568.3263094,8131,105.0
1582999732.8741255,8245,119.0
1582999778.494363,8280,112.0
1582999788.5097313,8286,139.0
1582999887.9656248,8356,89.0
1582999959.4473805,8400,102.0
1582999998.938007,8429,104.0
1583000006.0069652,8434,138.0
1583000022.5502923,8444,90.0
1583000151.0055883,8537,90.0
1583000155.6519701,8540,151.0
1583000194.3628314,8568,112.0
1583000208.4061663,8578,160.0
1583000300.8708396,8637,52.0
1583000346.7863953,8672,89.0
1583000393.751898,8706,87.0
1583000472.887405,8766,125.0
1583000642.7884948,8890,103.0
1583000645.1126916,8893,110.0
1583000719.9736238,8949,127.0
1583000753.97798,8975,94.0
1583000758.9801624,8978,106.0
1583000793.099679,9000,117.0
1583000801.9045007,9007,73.0
1583000888.3792336,9067,102.0
1583000896.0412343,9073,140.0
1583000982.9855876,9131,76.0
1583001257.40556,9305,86.0
1583001268.0965297,9312,121.0
1583001308.1395147,9340,109.0
1583001388.6677432,9396,150.0
1583001438.8251293,9428,332.0
1583001532.2885408,9493,186.0
1583001537.4067469,9496,145.0
1583001565.4477806,9516,131.0
1583001615.2063048,9549,139.0
1583001727.406302,9628,122.0
1583001736.944353,9635,307.0
1583001756.2302434,9648,86.0
1583001792.2715406,9670,300.0
1583001842.6048255,9709,82.0
1583001886.6752453,9739,134.0
1583001918.5245717,9763,106.0
1583001948.2245114,9781,98.0
1583002061.1590822,9852,80.0
1583002166.4899404,9927,120.0
1583002253.1096575,9991,157.0
