Wall time,Step,Value
1582985098.721794,18,3.7180662155151367
1582985185.245472,24,-1.8590333461761475
1582985366.9479983,40,-4.957421779632568
1582985395.0251622,42,3.098388671875
1582985431.8842611,45,-1.2393550872802734
1582985564.6632752,56,1.8590331077575684
1582985739.9517064,71,1.2393555641174316
1582985774.1731198,74,3.7180657386779785
1582986013.6722636,94,-0.6196777820587158
1582986166.6234977,106,-1.8590333461761475
1582986420.3740714,126,-3.718066692352295
1582986753.9860594,155,1.8590333461761475
1582986787.5095055,158,-1.2393555641174316
1582986877.6822753,167,4.337744235992432
1582987065.3120053,183,-0.6196777820587158
1582987083.2520847,185,-2.999991366436916e-09
1582987496.7165983,229,3.718066692352295
1582987546.141846,234,3.098388195037842
1582987681.0574605,249,4.337744235992432
1582987751.6096468,255,6.000000496442226e-09
1582987814.4036777,260,-2.478710651397705
1582987898.929964,267,-1.2393553256988525
1582987968.4770324,273,-4.337743759155273
1582988382.5029163,308,0.6196778416633606
1582988413.3927884,310,4.337744235992432
1582988507.005568,318,4.000000330961484e-08
1582988765.4888773,339,1.2393553256988525
1582988848.2656357,347,1.8590331077575684
1582989069.1884584,367,4.957422256469727
1582989722.7466726,421,0.6196777820587158
1582989739.09226,422,3.098388910293579
1582989953.2441888,439,1.2393555641174316
1582989990.373355,442,-0.6196777820587158
1582990031.633503,445,-2.399999914359796e-07
1582990200.579152,460,-2.478710889816284
1582990222.5274851,463,2.4787111282348633
1582990234.4792101,464,-1.2393555641174316
1582990355.3817701,474,-1.2393555641174316
1582990559.9575455,493,-1.2393555641174316
1582990786.327199,514,2.000062337970121e-09
1582990955.994822,531,3.7180662155151367
1582991001.5617633,536,-0.6196777820587158
1582991299.4061308,563,1.8590333461761475
1582991396.9656866,573,3.718066692352295
1582991463.8570046,579,-1.8590333461761475
1582991556.39904,586,2.478710889816284
1582991571.4593084,587,1.9539925233402755e-14
1582991931.9062738,620,0.6196777820587158
1582991960.4617684,622,-3.098388671875
1582992087.0466976,634,-2.4787111282348633
1582992165.0296283,641,1.2393555641174316
1582992168.7973447,642,1.8590333461761475
1582992185.6232471,644,4.337744235992432
1582992215.6193287,647,1.8590331077575684
1582992229.8225238,649,2.4787111282348633
1582992339.251949,661,1.8590333461761475
1582992449.4790084,671,1.2393555641174316
1582992826.8812933,714,1.7763568394002505e-15
1582992882.520729,722,1.8590333461761475
1582992964.508166,730,3.098388671875
1582993059.3210118,739,-4.957421779632568
1582993150.0743904,752,0.6196778416633606
1582993177.2478154,756,1.8590333461761475
1582993231.04375,765,0.0
1582993279.9693217,769,1.2393553256988525
1582993304.166194,771,-1.2393555641174316
1582993320.5226054,773,3.098388671875
1582993393.1524568,780,-3.098388671875
1582993436.7651792,785,-1.2393555641174316
1582993445.7128181,787,1.8590333461761475
1582993474.6218774,792,-3.0000197881463464e-09
1582993492.170554,794,-0.619677722454071
1582993527.3084688,798,-3.0000162354326676e-09
1582993552.6005187,802,2.478710651397705
1582993586.271131,808,1.8590331077575684
1582993589.7973595,809,-1.8590333461761475
1582993759.8751771,832,2.4787111282348633
1582993799.5076816,836,1.2393555641174316
1582994041.6975472,869,-0.6196777820587158
1582994089.9217165,876,-2.4787111282348633
1582994122.1282046,882,-1.8590333461761475
1582994234.3413005,896,0.6196777820587158
1582994262.0299942,900,2.4787111282348633
1582994316.7681272,907,1.2393555641174316
1582994327.20759,909,-1.2393555641174316
1582994389.5659876,917,1.8590333461761475
1582994499.998579,931,-3.098388671875
1582994504.9845076,932,1.2393555641174316
1582994569.297666,942,-1.2393555641174316
1582994586.331845,945,-3.098388671875
1582994658.0920308,954,-3.098388671875
1582994717.5934474,962,3.098388671875
1582994770.8807187,971,2.4787111282348633
1582994776.6843946,972,-0.6196777820587158
1582994818.880217,978,-1.2393555641174316
1582994823.8985696,979,2.478710651397705
1582994850.5084364,984,4.337744235992432
1582994935.0962033,1002,-1.8590333461761475
1582994949.0475187,1005,2.4787111282348633
1582994996.9742787,1014,2.4787111282348633
1582995195.1973138,1044,1.2393555641174316
1582995289.2563012,1057,2.4787111282348633
1582995325.7690594,1063,1.2393555641174316
1582995348.1818032,1066,3.7180662155151367
1582995366.6382256,1068,-1.7763568394002505e-15
1582995403.0053866,1072,1.8590333461761475
1582995441.0752864,1078,-4.957421779632568
1582995478.2748103,1083,1.2393555641174316
1582995551.2186334,1093,0.6196777820587158
1582995594.4394448,1099,-2.4787111282348633
1582995623.1921885,1104,-2.478710651397705
1582995670.9089088,1114,1.8590333461761475
1582995930.7212408,1156,1.859033226966858
1582995952.3767316,1160,1.9539925233402755e-14
1582995960.2122035,1161,-0.6196777820587158
1582995963.49685,1162,-4.337743759155273
1582996067.9615963,1180,1.2393555641174316
1582996125.5989218,1193,0.6196777820587158
1582996202.1912725,1206,-1.2393555641174316
1582996351.3541985,1232,2.4787111282348633
1582996410.2762733,1244,-1.8590333461761475
1582996468.9236507,1255,0.619677722454071
1582996485.2893171,1258,-1.2393555641174316
1582996506.2368314,1261,-1.2393555641174316
1582996644.4871309,1281,2.478710651397705
1582996682.4030986,1287,-1.2393555641174316
1582996729.171507,1294,1.2393555641174316
1582996770.9397624,1300,-1.2393555641174316
1582996881.776423,1316,-1.2393555641174316
1582996901.1903856,1319,-2.4787111282348633
1582996977.5116448,1330,-1.2393555641174316
1582996989.4875004,1333,3.718066692352295
1582997005.4453259,1336,-0.6196777820587158
1582997013.0907679,1337,-1.8590333461761475
1582997271.4808128,1385,-1.8590331077575684
1582997283.1231883,1388,-3.098388671875
1582997300.945054,1391,1.2393555641174316
1582997303.5264292,1392,2.4787111282348633
1582997422.3037984,1414,1.8590333461761475
1582997491.768673,1426,1.4210854715202004e-14
1582997534.8046916,1436,3.7180662155151367
1582997557.5995655,1440,-3.718066692352295
1582997704.831352,1465,0.6196777820587158
1582997709.165688,1466,-0.6196778416633606
