Walltime,Step,Value
1582984336.5726306,2290,-0.006127015221863985
1582984472.0429378,2340,-0.0003175346355419606
1582984515.8386858,2355,-0.009999999776482582
1582984537.9714847,2360,-0.001700743567198515
1582984674.0193908,2405,-0.009999999776482582
1582984689.9653306,2410,-0.002254026709124446
1582984847.357476,2465,-0.009999998845160007
1582984898.1382506,2480,-0.009031753055751324
1582984916.3350587,2485,-0.007418008055537939
1582984948.0677447,2495,-0.002254027407616377
1582985001.4401991,2505,-0.005352416541427374
1582985308.7800076,2580,-0.003545020241290331
1582985405.097181,2605,0.001618958660401404
1582985474.254069,2615,0.0003279626544099301
1582985508.216463,2630,0.0006507121142931283
1582985619.2194068,2670,-0.009999999776482582
1582985711.4585412,2700,-0.004190519452095032
1582985735.3772607,2710,0.001618958660401404
1582985782.0210712,2725,-0.006127013824880123
1582985788.9244797,2730,0.01614265702664852
1582985831.977708,2745,-0.006127013359218836
1582985860.679008,2755,0.0035554522182792425
1582985935.1051726,2785,-0.010000000707805157
1582985952.6136975,2790,0.005734005477279425
1582986125.0453498,2835,-0.002254028571769595
1582986155.5693824,2845,-0.00806350540369749
1582986207.5309756,2865,0.0029099546372890472
1582986242.6493618,2870,-0.006127014756202698
1582986339.183449,2895,0.009364928118884563
1582986432.6810021,2915,0.0008443631231784821
1582986454.5216908,2920,0.006352609023451805
1582986512.7636776,2935,-0.0011474600760266185
1582986569.8086712,2945,0.0035554510541260242
1582986613.0781112,2955,0.0025872034020721912
1582986627.605797,2960,0.01323791779577732
1582986643.9548762,2965,-0.0003175349847879261
1582986673.4609945,2970,0.0006507115322165191
1582986694.7440002,2980,0.0067829410545527935
1582986720.383803,2990,0.013237918727099895
1582986795.8741004,3015,0.002393557457253337
1582986809.871989,3020,-0.004190520383417606
1582986930.0759761,3055,-0.00031753245275467634
1582986960.0569913,3065,-0.002254028571769595
1582987040.158612,3100,0.013237922452390194
1582987085.7168858,3110,-0.006127013824880123
1582987160.5159585,3140,-0.0016085298266261816
1582987245.7095118,3165,0.010817301459610462
1582987297.5800226,3175,-4.0894319681683555e-05
1582987488.6050596,3235,0.0003279623342677951
1582987601.8378942,3270,0.006653839722275734
1582987613.024006,3275,0.004200948867946863
1582987644.5552819,3285,0.011946923099458218
1582987654.7487986,3290,0.001618961221538484
1582987661.6260295,3295,-0.002254031365737319
1582987683.7996771,3300,0.005922276526689529
1582987699.4229128,3310,-0.002254027873277664
1582987742.9750082,3325,0.0016189571470022202
1582987789.5861719,3345,0.013237908482551575
1582987898.906103,3370,0.013237923383712769
1582987970.9634094,3385,0.020983882248401642
1582988076.6827543,3410,-0.004190520849078894
1582988132.4009614,3425,0.024856869131326675
1582988151.2220328,3430,0.006196123547852039
1582988190.545769,3440,0.002264456357806921
1582988202.6395996,3445,0.007428436074405909
1582988260.2701623,3460,-0.006127014756202698
1582988272.05615,3465,0.005491943564265966
1582988316.1742506,3480,0.0003279616648796946
1582988342.7077184,3485,-0.006127010565251112
1582988430.7013118,3510,0.0054919421672821045
1582988443.2960908,3515,0.017110902816057205
1582988537.0887215,3550,0.003942749463021755
1582988587.9158201,3565,0.005491945892572403
1582988641.7274213,3590,-0.0003175359161105007
1582988683.6438806,3605,0.0032327021472156048
1582988714.0733814,3615,-0.0003175353049300611
1582988739.760971,3625,0.002909953473135829
1582988795.4033408,3645,0.005491941701620817
1582988877.5526567,3665,0.005491945426911116
1582988985.4228318,3685,0.009364934638142586
1582989032.6638749,3690,0.0033402862027287483
1582989050.8429587,3695,0.007428440731018782
1582989057.1862843,3700,0.0016189573798328638
1582989162.4521682,3730,0.005491947289556265
1582989256.8785064,3760,0.005976066924631596
1582989299.0901837,3770,0.009364929981529713
1582989310.791761,3775,0.011946923099458218
1582989363.2923136,3795,0.0035554543137550354
1582989406.8838077,3810,0.0016189627349376678
1582989418.902614,3815,0.0016189605230465531
1582989477.7065945,3830,-0.002254036720842123
1582989493.8425076,3835,0.003071329090744257
1582989506.047548,3840,-0.006127013359218836
1582989537.0168896,3850,-0.0005327007966116071
1582989562.5810497,3865,0.00936493743211031
1582989675.1435745,3895,0.0016189588932320476
1582989723.0394108,3910,-0.006127011496573687
1582989744.8101394,3915,-0.0003175346937496215
1582989798.9188957,3930,0.005491947289556265
1582989821.885243,3935,0.015025448985397816
1582989834.289357,3940,0.005491947289556265
1582989865.8638594,3950,0.002172241685912013
1582989886.8322437,3955,0.006137443240731955
1582989981.7082396,3985,0.013722035102546215
1582990066.3368287,4010,0.0003279649536125362
1582990083.9944363,4015,0.0029099546372890472
1582990126.9378333,4025,0.0007251917850226164
1582990169.2526956,4035,0.017110900953412056
1582990190.7455237,4045,0.02098388783633709
1582990202.8395042,4050,-0.009999999776482582
1582990213.0581594,4055,0.01904739812016487
1582990232.0466793,4060,0.005491945892572403
1582990240.1353295,4065,0.01130142342299223
1582990282.5455825,4080,-0.004190518986433744
1582990365.8857965,4105,0.016250234097242355
1582990404.356672,4120,0.0016189598245546222
1582990437.913096,4130,0.009918213821947575
1582990454.5318637,4135,0.004200947470963001
1582990462.120221,4140,0.017110902816057205
1582990575.912701,4170,0.020983895286917686
1582990588.8938468,4175,0.011946922168135643
1582990621.399397,4185,0.009849052876234055
1582990664.1732967,4200,0.010655930265784264
1582990725.709273,4220,6.976261647650972e-05
1582990789.332527,4235,0.009364933706820011
1582990819.3494458,4250,0.02485688589513302
1582990855.5835056,4255,0.0022644561249762774
1582990884.0040245,4265,0.002909956034272909
1582990932.1982188,4275,-0.009999999776482582
1582990978.1983044,4285,0.008811647072434425
1582991052.4776163,4310,0.022920381277799606
1582991096.045644,4325,0.013237923383712769
1582991430.55421,4435,0.00334028503857553
1582991466.3406975,4445,0.0016189567977562547
1582991482.9306586,4450,0.007428430952131748
1582991547.2297916,4475,0.04034882038831711
1582991578.5463433,4485,0.009364929981529713
1582991626.0810523,4505,0.018401898443698883
1582991659.8286736,4515,0.014528908766806126
1582991694.4024386,4525,0.009364933706820011
1582991728.3167992,4545,0.005491940770298243
1582991777.1739893,4560,0.005491945426911116
1582991803.5113661,4565,0.018401898443698883
1582991901.4107668,4595,0.013237920589745045
1582991966.2282622,4615,0.0016189604066312313
1582992092.0317156,4650,0.01246331911534071
1582992107.7841175,4655,0.020983893424272537
1582992117.7974868,4660,0.009364931844174862
1582992134.6794152,4665,0.0074284314177930355
1582992207.6624358,4690,0.0032327023800462484
1582992231.583785,4700,-0.006127009633928537
1582992273.633084,4715,0.0016189563320949674
1582992291.8198214,4720,-0.001285781036131084
1582992303.911675,4725,0.01556171104311943
